 January 2023,5,Lovely Riad in a great location,"This was a lovely Riad in a great spot. Although we had a medical emergency the staff were able to assist us in dealing with it. The facilities were great, but don't expect a five star European style hotel. It is totally Moroccan. The terrace breakfasts are not to be missed.",hotelName,city
 December 2015,4,"Charming riad, good location, great service","Tucked away on a narrow alley in the medina, you will find this very beautiful riad. It being our first night in Morocco, I cannot make comparisons to other Moroccan accommodations but the staff were so friendly and helpful, you'll feel like you're being treated royally. The common spaces are quite beautiful. Our suite was large and comfy. Elaborately decorated. Nice toiletries and towels. Mattress was a bit firm, lighting was dim and English TV channels limited (but we didn't care). Each suite is unique and ornate. Dinner was pretty good but service surpassed the food. While we arrived too late to preorder couscous, they served us some from another guests order. My wife's chicken was a bit dry, but she was pleased to be served two styles rather than having to choose. My…",Dar_El_Kebira,Rabat
 February 2015,5,"Full of character, great service, and ideal location","This riad in the heart of the medina was perfect for us. It's a very charming historic building that evokes Arabian Nights. The staff were always helpful and we enjoyed the tasty breakfast on the rooftop. It was a great location for exploring both the medina and the casbah. The price was reasonable and very good value, especially when compared to some of the soulless modern hotels. We had difficulty finding it when arriving at night, but only because we made the mistake of attempting to walk from the train station (a longish walk with luggage). Had we taken a taxi and approached it from the other side of the medina (nearer the casbah) we would have found the approach well sign-posted. We would definitely return to this hotel.",Dar_El_Kebira,Rabat
 November 2015,4,Very good hotel but parking is not very easy,Hotel within the old city so you must park your car outside city and walk 5min. It is not very easy to find the hotel but you can ask local boys who will lead you to the hotel for a small tip. The room I had is quite small but the hotel has very good breakfast and location is very convenient for sightseeing,Dar_El_Kebira,Rabat
 November 2015,5,"Lovely quality, great service, good location, reasonable price.","Stayed here for 3 nights on our first visit to Morocco. The Riad is located in the heart of the city's old Medina, and surrounded by the rabbit warren of beautiful old walk ways and streets with their colourful little wooden fronted shops. It's also just a short walk to the Kasbah which has a lovely public garden (free) and serves traditional tea and sweets over looking the river and sea. The Riad has fairly small rooms, but their quite plush and its interior is traditional and charming with a few open fires. Breakfast is served up on a lovely open roof terrace overlooking the city. For what you get and the price, we found it a great place to start our Moroccan adventure. Highly recommended.",Dar_El_Kebira,Rabat
 November 2015,5,Excellent Traditional Riad set in the Medina,"We stayed here 4 nights this week and really enjoyed our stay, the Manager Amina and all her staff are very efficient and friendly. The rooms are small but very traditional and clean. The morning breakast is well worth having served on the terrace overlooking Rabat. We took dinner two evenings , the food wine and service could not be faulted. All in all a very nice place to stay in Rabat. First night arrival the Riad would be difficult to find, we used the Riad Taxi service and pleased that we did.",Dar_El_Kebira,Rabat
 November 2015,5,My first choice in Rabat,The riad is amazing. Exceptionally beautiful. The bathroom was wonderful and the rooms are vey boutique. The service is first class and it is a vey safe part of town and very close to the souks. My only negative was a bit of dirt around the sink area and had we been staying longer I would have drawn attention to it but it wouldn't put me off staying again.,Dar_El_Kebira,Rabat
 November 2015,3,Ok Hotel,This hotel is clean and beautiful but unfortunately noisy at day time. the service is not the best n but OK. I was there for 5 nights and the personal was very polite and helpful except one time. Compairing with the price I cannot say it is a 4 star hotel but it is clean and beautiful.,Dar_El_Kebira,Rabat
 November 2015,5,Charming traditional riad in the Medina,"My first night in Morocco, and one night stay at the Dar El Kebira. Beautiful building with original carving and wood architectural features. Very helpful staff who served wine and snacks on the rooftop. Wonderful views! Traditional antique furnishings throughout, and in my lovely bedroom on the ground floor. I had dinner in the Dar, and it was delicious.",Dar_El_Kebira,Rabat
 November 2015,5,"Brand new cultural experience in Morocco, Africa.",We were sighted with the hotel managements help to organize taxi and train and taxi for a special trip 6 hours away. We could not have done it without them! Breakfast on their rooftop terrace was exceptional.,Dar_El_Kebira,Rabat
 November 2015,5,well cared for at Riad Dar El kebira,"We were very impressed with our short hotel stay at Riad Dar El kebira. We felt safe (even though we did not speak any other language's) and were always greeted at the door by the concierge there are security camera's in place. We needed help with traveling to Chefchaousen,Morocco the concierge was able to give us in english very clear directions for the train and a reserved taxi in advance both ways, all are our connections were on time and smooth. We were allowed to leave our luggage and travel light for our trip. We returned and had a lovely room waiting for us with our luggage already in the room. We used the internet to check flights etc...when it came time to leave and again another the great taxi to the air port on our departure. All hotel staff were genuinely kind and…",Dar_El_Kebira,Rabat
 October 2015,5,Had a great time here!,"Both the staff and the hotel were great! Very exotic, different from any hotel I have stayed. If you are looking for a unique experience in morocco this will do it. Staff was very friendly and clean! Room was small but had everything that I needed. Also the food here was great. Really clean. Location was a little hard to find but there are signs in the streets that will guide you to the door.",Dar_El_Kebira,Rabat
 November 2015,4,Romantic and genuine,"Very pleasent stay, perfect lokation, and very helpfull staff. Quite higly priced, compared to other riads! Extremely charming, eventhough it has seen better days.... Beds rather hard, but got a good night sleep anyway!",Dar_El_Kebira,Rabat
 November 2015,5,Excellent Riad in the heart of the old Medina!!!,"I recentely travelled to Rabat Morocco and I stayed at the Dar El Kebira Riad for just two nights, that was such a wonderful experience !!! A very nice Riad in the heart of the old Medina, with a very nice staff :) starting from the manager, a very nice professional lady to all the others, they just make you feel you're at home :) I booked a standard room and I got a deluxe room instead!! The design was breathtaking, makes you go back in time to the golden age ! The breakfast is served at the terace.... very yammyyy ;) I miss it already :(, I will definitely recommend it and will definitely comback again inshallah!!! Thanks for making my stay as confortable as possible :) see you very soon!",Dar_El_Kebira,Rabat
 October 2015,4,Good base to explore Rabat,"After looking at a few choices on booking.com, we chose Dar Kebira for our two night stay in the last week of October. We were swayed by its handy location and the pictures of the décor. Our room choice was the Pinede suite (Max Occupancy 3 ). Before arrival we emailed the Riad directly and requested for the airport transfer as well. Now to the review:- The airport transfer taxi was waiting at Rabat Sale as we arrived and whisked us straight to the Riad, a 20 minute journey the last section of which was along the waterfront. Being in the midst of the Medina , the narrow streets don’t allow drop off at the front door . Not a problem as the doorman had been given a heads up and he was waiting and walked us and our luggage through the narrow alleyways of the medina to the Riad…",Dar_El_Kebira,Rabat
 November 2015,4,"Great Moroccan ambiance! Rooms were good, Food amazing, massages relaxing!",We stayed here for only one night at the end of a long trip. Unfortunately our train was delayed coming in so we didn't have a lot of time in the medina. The location is a little confusing so it's important to have someone come get you from the street! Even though we saw photos on tripadvisor the room was way smaller than it looked! It was nicely decorated and ours had a little loft. I took a look at the other rooms and noticed that they were not as nicely decorated on the inside as other riads. However the lobby and dinning experience makes up for it!! Excellent food and service from Youness! Our massages on the top floor were excellent and classic moroccan. The terrace is really nicely decorated but the views are nothing spectacular...in fact a little awkward being close…,Dar_El_Kebira,Rabat
 October 2015,4,"Nice facility, great location","The Riad has an ambience that brings you back in time, a perfect environment for the Rabat Medina in which it is located. The rooms can be awkward but that's because of the old style layout of the building. Dinner was out of this world good, perhaps the best food we had on our trip. Only downsides were (1) we were bumped from the Riad on our second night and had to relocated to a less-than-desirable facility nearby and (2) the lamps are not grounded and my wife received a 220 volt electric shock (she's OK). We would go back but would double check to ensure we have a room throughout our stay.",Dar_El_Kebira,Rabat
 September 2015,5,Great stay,"Dar el Kebira is a gem in the Rabat medina. Classic Moroccan taste, superb location with a decent view. Very nice breakfast and amenities, did not try the lunch or dinner. Will definitely stay there again inshallah",Dar_El_Kebira,Rabat
 October 2015,5,Fantastic place,"This riad is in the heart of the Kasbah in Rabat, very safe to get to and easy to find. We stayed in the room el bouregreg, very clean, excellent service, every little detail is well thougt of and the decoration is so exotic. Beautiful breakfast on the terrasse, very good food. Cannot believe how nice everybody was, there is a hammam and massage in the riad that is available, tried both, highly recommended. A lot of things to visit within walking distance, loved this place and loved Rabat, would go back there without any hesitation, well worth it!",Dar_El_Kebira,Rabat
 September 2015,5,"Authentic Charm, Generous Hosts","I used to live in Morocco, so I have some experience with service norms in the country. Riad Dar El Kebira is exactly where you want to go to experience the charm and mystique of the Orient with the comfort of Western hospitality. Amina and her staff are authentic, genuine, and generous in their service. You will feel more like you are visiting with family than staying in a stuffy hotel (which is much more expensive). The Riad itself is lovely. Located in the middle of the old city (the Medina), you are located near everything you want to see, be it the old Kasba or the fantastic souk (market). I can promise you that the prices in the Rabat souk are better than any other place in Morocco, so this is the place to buy all of the wonderful items on offer. If you are…",Dar_El_Kebira,Rabat
 September 2015,4,Beautiful Riad,Beautiful Riad in the Medina. Rooms are very nice and clean. Lovely breakfast on the terrace. Dinner was excellent but pricey and is a good option if you're tired or if it is late to venture outside. Walking distance to the Kasbah Oudaias. Friendly and helpful staff.,Dar_El_Kebira,Rabat
 August 2015,5,Great place to stay!!!,"We enjoyed 3 days and nights in Riad Dar El Kebira and we has a nice days. Once we came inside,everything was perfect. Nice arquitechture,kind and warm hosting. Rooms are amazing,good and tasty breakfast and a great service from the crew,specially Simmohamed,kind regards! I highly recommend this Riad for your days in Rabat. Good trips!!!",Dar_El_Kebira,Rabat
 July 2015,4,Good Riad in the Medina,"This is a good place to stay in Rabat if you want the medina experience. It is small, well-maintained Riad that is a few twisting streets away from the entrance to the Kasbah. The breakfast is fine, if a bit repetitive after a few days. We also had dinner once, as most places were closed for Ramadan, but it was basic standard-issue Moroccan tangine. The rooms seemed a bit cramped and dark, though we got two of the largest, but for the price, the hotel is a relative bargain.",Dar_El_Kebira,Rabat
 June 2015,5,Wedding photo shoot,The staff welcomed us and allowed us access to all areas for our photo shoot. Our room was prepared very well and the service was very professional Thank you dar el kebira for a wonderful evening for our wedding photos!,Dar_El_Kebira,Rabat
 May 2015,4,Amazing service in a beautiful Riad,"Amazing service upon arrival until the end, the staff gave us a map and showed us where to go and the best way to explore the city. The staff was attentive and very helpful. The riad is authentic and beautiful. We stayed in a suite upstairs which was perfect and quiet. I didn't love having a bathtub as a shower and the they could definite update the blanket used on the bed. Overall our stay was wonderful!",Dar_El_Kebira,Rabat
 June 2015,5,A Great Service Hotel,this is a great place because of its location. the hotel also makes you feel like staying in a house during your trip. the service is amazing from the hotel manager to Younes and Mohammed. the only thing i did not quite like is that you have to pay cash for hotel taxes and food and drinks consume in the hotel. we would have wanted to have more of our meals and drank more in the comfort of the hotel to relax at the end of the day. but with the cash system we were forced to eat out where credit card is accepted. unfortunately for the establishment they could have made more from us if they accepted credit cards. but everything else is great.,Dar_El_Kebira,Rabat
 June 2015,3,Decent choice for Rabat Medina,"Compared to the riads we stayed at in Marrakech and Fes, this one was overpriced for its accommodations. The rooms are small and a bit stuffy. Our bathroom had it's fair share of ants and other crawling things. However, the rooftop terrace and other common spaces are very nice. Breakfast was standard Moroccan fare. Dinner at the restaurant was very good but somewhat pricey.",Dar_El_Kebira,Rabat
 May 2015,3,Not a 5* by any stretch of the imagination,Hard to find and I never get lost anywhere in the world. I'm not afraid to ask for instructions and I had pre-printed instructions. Not even close to 5* accommodations. The room had a funky smell the claw foot tub was not bolted to the floor so if you moved out the middle it would tip up. We stayed at a riad in Marrackesh that meet all of the 5* accommodations western travelers expect (they are not on expedia). Try something else.,Dar_El_Kebira,Rabat
 April 2015,5,Great location,"If you are looking for a Riad to explore Rabat this is well located in the Medina and a short walk from the Kasbah. We initially stayed in one of the smaller rooms which was cosy and quiet and on our return from Tangier stayed in a suite which was wonderfully appointed and worth the additional cost. A substantial Moroccan breakfast is served on the rooftop terrace. Rabat is a fascinating city and while not always considered a tourist destination worth exploring. Thanks Amina, Yassir and all the staff for your wonderful Moroccan hospitality, we are looking forward to our next visit.",Dar_El_Kebira,Rabat
 April 2015,3,Lovely riad in the heart of the medina,"We loved this riad! Overall, it was a great location but the staff was not very present. It was pricey for the experience but the room was comfortable, the location central and the terrace had a fantastic view.",Dar_El_Kebira,Rabat
 March 2015,5,Fantastic stay at a beautiful Riad,We had a wonderful stay at this Riad. The decor is very tastefully done and is simply stunning. We couldn't get over taking pictures of the Riad! The rooms are small but comfortable which is not unexpected considering its a traditional home. The bathrooms are very nicely done as well. The location is perfect as its in the Medina and you can walk to all attractions. The hospitality is really good. Both Amina and Mohammed were very obliging. We had booked a trip to Fes via the Riad which went off very well. The food and ambiance is excellent. The breakfast is very good.,Dar_El_Kebira,Rabat
 April 2015,2,Surprisingly Poor,"The pictures looked great; the reviews looked better. But the Riad did not live up to those expectations. My room was very small. It was also noisy as it looked directly outwards onto the alleys of the Medina. There was nowhere to put my clothes, except a small cupboard to hang things. I know there were lots of rooms free in the Riad, so I have no idea why I was put into this room. It was not cheap, so was pretty poor value for money. Disappointing.",Dar_El_Kebira,Rabat
 April 2015,5,Overnight in Dar El Kebira,"I had already heard about this Riad, I was told that it is one of very few in Rabat with a beautiful traditional decoration. And when I first entered I realised that it was even more beautiful than in the photos. But when I spent the night I found that also everything has been caarefully placed in such a way that you would always find what you're looking for. Beautiful experience. I certainely recomend it. Ahh .. forget to tell you that breakfast in the terrace with the view of the Medina and in the horizon the ocean ... was delicious!",Dar_El_Kebira,Rabat
 April 2015,5,Rabat Visit,We stayed at Riad Dar El Kebira for the second time in 6 months. It was again a wonderful experience. The Riad is located in the Medina and very convenient to local sights. The staff were all fabulous and very accommodating. From booking restaurants to airport transfers and sightseeing trips they did an excellent job and everyone was so generous and friendly. We highly recommend this hotel to anyone staying in Rabat. Their restaurant was excellent with high quality authentic Moroccan food. Breakfast was served on the Terrace and was perfect. Our rooms were furnished in traditional Moroccan decor with all the modern conveniences included. We will definitely return to Dar el Kebira the next time we are in Rabat. It is important to note that credit cards can be used to pay for the…,Dar_El_Kebira,Rabat
 March 2015,5,Awesome Experience!,"This riad is fantastic. This visit was my first time to Morocco, or anywhere in that part of the world for that matter. The place was easy to find, but be aware you will walk down a couple of well-marked narrow streets in the Medina. The front door is just a plain non-descriptive door, so knock on the door below the sign. Amina, the manager, was very welcoming and offered me the traditional Moroccan mint tea, dates and almonds when I entered. My room was super and very comfortable. The location is great for exploring the Medina and near-by sights. The food was super...no complaints what so ever. I definitely would stay there again!",Dar_El_Kebira,Rabat
 March 2015,4,it's a luxury ryad with its defaults,"Before sleeping in a Ryad, you have to know that a ryad is very noisy and also wet. Alas, as in other ryads, the internal noise made by people walking or taking breakfast is waking up everybody... So forget about sleping to 10AM or take your ear plugs!! Should be good to have some noise policy… Our room was also very wet because the bathroom doesn't have enough fresh air... Walls are retaining water :-( The service and breakfast are great. Nice people except the waiter being a little bit arrogant, telling us that breakfast was served until 10am and not later. Also telling us that we haven’t pushed the right button for the bell but he was sleeping somewhere backwards: we pushed the right button and heard the bell 4 times and had to call the Ryad. So this is why I'm only putting…",Dar_El_Kebira,Rabat
 April 2015,4,very nice and confortable,"Very nice interiors. Comfortable, elegant and quiet stay, even though some more fresh air in the room would be desirable. The terrace is very relaxing. Friendly and helpful staff. Breakfast ok. A buffet would be better than personal servings.",Dar_El_Kebira,Rabat
 April 2015,3,Very nice for a stopp over,"We stayed there on our way to Marrakech and it was nice. The staff was very kind, dinner (a little too expensive) was good, breakfast also. The room had TV, wifi and air con, and was of course beautiful designed. Would go here again. People in the medina were also very kind.",Dar_El_Kebira,Rabat
 February 2015,4,Pleasent and comfortable!,"The staff were extremely pleasent and helpful. The room was very well accommodated. I have to say that throughout my visit to Morocco Dar El Kebira was good value, however I was not blown away. I had stayed in much better in other places in Morocco.",Dar_El_Kebira,Rabat
 March 2015,3,"very friendly, helpful staff","Although I was very well received, I would not return to this riad. I have visited quite a few all over Morocco and this one is just okay but not outstanding. What I really did not like was the very strong mouldy smell all over the place. There is definitely a problem with airing the rooms, my clothes even felt slightly humid. I also think they quite overdid the oriental decor, a bit less would have been more. And after my stay I felt really harassed by their constant reminders to leave a review. So here it is, not overly positive but honest.",Dar_El_Kebira,Rabat
 August 2014,5,Great Riad in the center of Rabat,"Stayed here for a night, great place to explore Rabat from with excellent staff. Nicely decorated, comfortable and worth the visit. It is easy to find by following the signs in the Medina. Would go back!",Dar_El_Kebira,Rabat
 March 2015,2,Not quite up to the mark,"We stayed a night on a tour of Morocco. The welcome was friendly enough, the room quite clean and comfortable. but that was it. The room was a tad narrow (to be fair, that is not uncommon in riads located in medinas). The tub was dangerously narrow - one had to balance oneself precariously while taking a shower. While leaving, we were told brusquely that we would have to pay in cash, even though they accept reservations by credit card. I would not recommend this place - there are surely better options available.",Dar_El_Kebira,Rabat
 March 2015,5,THE Place to Stay in Rabat!,"Romantic surroundings and impeccable service are the best ways to describe this Riad. Although we arrived later than expected, the caring staff made us feel welcomed as though we were their first clients of the day. They even arranged a late meal that was amazing, and they never made us feel rushed. The location is excellently placed to explore the surrounding Medina and various parts of the city. They arranged for an excellent private tour led by the extremely knowledgeable and proud local, Mr Fadel, whom is a MUST if you have limited time in Rabat. This is Moroccan hospitality at its finest--would highly recommend this for any visitor!",Dar_El_Kebira,Rabat
 March 2015,5,An exquisitely beautiful place to stay,"We spent a few nights in the Riad Dar El Kebira and found it to be a very comfortable, quiet and attractive place to stay. The rooms, furniture and antique furnishings were lovely. The place is kept spotlessly clean. The food (and Moroccan wine) were extremely good, and vegetarians were well catered for. The staff were very helpful and efficient. The service was exemplary. However, we were surprised that smoking appears to be tolerated in certain parts of the hotel. And, if you are planning a special occasion, be aware that the price of champagne in Morocco now appears to be astronomically expensive, even by the standards of multi-star hotels. The hotel's website gives room prices in euros only. But those prices seemed to be a little out of date, because you are billed in…",Dar_El_Kebira,Rabat
 March 2015,5,Stylish Riad in the centre of Rabat,We were welcomed to the Riad Dar El Kebira with some mint tea and a friendly face which was very welcome after a slightly arduous journey from the station to the Riad. Dar El Kebira is ideally placed in the Rabat Medina right next to the main shopping street and just a short walk to the beach views - you couldn't really ask for a better location as a visitor to Rabat. We were lucky enough to be upgraded and found that we had a very beautiful and large room which was stunningly decorated. The bedroom had a very nice bathroom with high quality soaps and we were also provided with drinking water and fruit in the room. From the room there was a little bit of noise from outside in the morning but in some ways it was nice to hear the hustle and bustle of Rabat outside. Aside from…,Dar_El_Kebira,Rabat
 February 2015,4,Great Stay @ Riad Dar El Kebira,Loved my stay at this place...Would recommend visitors in rabat looking for authentic architecture and something unique to book this riad! Rooms are great...Food was particulary Good...Location near the media...Staff was very attentive to our needs! Thank You so much for the great hospitality!,Dar_El_Kebira,Rabat
 March 2015,5,A haven in Rabat,"Our first three days in Morocco we stayed in Dar El Kebira. It was a haven for us after flying many hours then driving from Casablanca. We were welcomed in to cool reception and served almonds, dates and mint tea before being taken to our rooms. The hotel is in the medina and an easy walk to the gorgeous waterfront, the Kasbar, and of course the many alley ways of the medina. Dinner at the hotel was a treat, and beautifully presented. Breakfasts up on the roof were exceptional with Mohammed's friendliness, warm welcome, impeccable service and generosity in sharing local details. Our rooms were authentic and the hotel tasteful and especially quiet at night.",Dar_El_Kebira,Rabat
 January 2015,3,Overpriced,Half a cup of terrible lukewarm tea upon arrival. They didn't have the room we booked so without apology tried to give us an awful room for the same price. Nice Riad but not worth more than $70/night.,Dar_El_Kebira,Rabat
 November 2014,5,Beautiful luxury in the medina of Rabat,"My husband and I spent a night at Dar El Kebira and what a wonderful experience. It started with the gracious greeting we received upon arrival including a tray of delicious Moroccan treats and mint tea, followed by our lovely room, and capped off with a delicious Moroccan dinner. The owners and staff were so friendly and kind; we felt like kings in a castle. The only downside, if one could call this a down side, is because the riad is located in the medina there is no easy or straightforward route to walk to find the riad. I must say, this just added to the mystique and experience. We stayed at several riads while traveling around Morocco, and the Dar El Kebira was our favorite.",Dar_El_Kebira,Rabat
 January 2015,5,A great experience !,"I had a great time at Dar El Kebira, the property is simply wonderful and the hosts did a great job creating a peaceful and welcoming atmosphere. It is a great experience especially for tourists like me (all the way from cold montreal) as it is located in the heart of the medina of Rabat and I would greatly recommend this destination to anyone wanting to truly learn about the moroccan culture. The little souks inside the medina are very interesting to visit. At the riad, the rooms are comfortable and cozy. The staff portrays moroccan hospitality at its finest; they are very welcoming and available to suit your needs even late at night. It is just magestic waking up to a beautiful sun and having breakfast on the rooftop terrace, sipping warm moroccan mint tea, and enjoying a view…",Dar_El_Kebira,Rabat
 January 2015,2,not super awesome,"Of the half dozen places we stayed on our trip to Morocco this was probably the second worst. The worst place had no hot water. It was certainly adequate and while not especially comfortable it was comfortable enough. I'm not generally an entitled, complainy person, but feel it necessary to warn travelers that this place is certainly not worth the over $200 a night they charged us. The room was cramped. There's nowhere to put your luggage. There is little privacy and quite a bit of street noise. The room we stayed in was stuffy, dim and dreary (there was barely enough light to read by). The claw-foot tub (sounds nice, right?) was small enough that I stumbled and fell when taking a small step backwards (my friend had the same experience--really, that could be quite dangerous).…",Dar_El_Kebira,Rabat
 January 2015,4,A Pleasant Riad In Rabat,"This Riad has a convenient location in the Medina not far from the Kasbah. While the rooms are not as nice as in the photos (as another reviewer observed) and I would not call this a 5* hotel, it is nice and comfortable. We had rooms off the lobby on main floor. Both were comfortable and clean. We had both lunch and breakfast on the upstairs terrace. The views from the terrace on the top floor are great and the food was very good.",Dar_El_Kebira,Rabat
 January 2015,5,"Beautiful interior, very comfortable Riad","Not too difficult to find and well positioned for the souqs, the Kasbah and the sea, this Riad was very comfortable. The welcome was fine and the Moroccan details of furnishing and decor were great. Our room had a 4 poster bed and the bathroom had a deep bath (we never did find the light switch though!). It was the only time during our holiday that we had a TV and comfortable seating area for viewing. We only spent 1 night here but it would warrant a longer stay, being a good base for Rabat's attractions and with a log fire and books for the winter evenings. The recommendation of a fish restaurant was disappointing, after quite a long walk to find it, and we were the only diners. Breakfast was excellent, served by a cheerful Mohamad on the roof terrace. He was also very helpful…",Dar_El_Kebira,Rabat
 December 2014,3,Nice room,"Nice entrance way, sitting area and dining area. My party and I stayed on the 2nd floor which overlooked the courtyard. The room furnishings were pleasant. The sink pattern was the most unique that I have ever seen. The front desk was pleasant. The food was fine. Unfortunately, a few of the kitchenware were not cleaned enough for my liking or seemed old. During dinner I saw a lip print on the wine glass before taking a drink. During breakfast the silverware was either old or needed to be cleaned.",Dar_El_Kebira,Rabat
 December 2014,5,We could not have been made more welcome,"After some searching on the web for a Riad in the Medina I came across the Dar El Kabira. The location was spot on in that it was walking distance from a number of the tourist sites and on paper it had all we were looking for so booked to stay for 4 nights over the New Year period. We arrived at the Riad 9.00pm on 30 December after our flight from the UK and we could not have been made more welcome. In asking whether it would be possible to have some dinner, menus quickly appeared and food provided.The rooms were clean and comfortable and atmospheric which fitted in perfectly with a few days in Rabat enjoying the sites. Nothing was too much trouble for the staff at the Riad including offering to go to a bank for one of our group to change pounds into Dirhams as we were having…",Dar_El_Kebira,Rabat
 November 2014,5,An Amazing Cultural Experience,"Greetings to all travelers.. As a cabin crew which travels and stayed at different places/hotels, I must say...Riad Dar El Kebira has captured my heart and I would recommend Riad Dar El Kebira -Rabat, Morocco for those travelers who wants to experience the amazing Riad's ambient. It has the value of money & culture. The staff were polite, friendly and very helpful. During the night, it was very quiet & peaceful. I fall in love with this place and looking forward to visit/ stay again in future. The interior were fantastic ( traditional concept ) with a mixed of classic French concept (bathroom). Each room has different décor which I found it unique and has their own beauty . Food was tasty too.. It was walking distance to the souq and other cafe's around the corniche. Many…",Dar_El_Kebira,Rabat
 November 2014,4,Beautiful riad,"We stumbled upon Dar El Kebira - without any booking. Even if it was late in the evening, we were warmly welcomed. We decided to cancel our booking at a nearby riad and enjoy our time at Dar El Kebira. The riad and the rooms are lovely decorated and clean. You will surely enjoy the included traditional Moroccan breakfast, served at the terrace. The staff is friendly and the service excelent.",Dar_El_Kebira,Rabat
 December 2014,3,Understanding a Riad,"I stayed here for 4 nights attending the football from the 12th-15th December. The riad itself is comfortable and located within the medina so exploring and access to the markets is very good. With this style of accommodation do not expect generous space in your rooms. This is what you may call boutique or traditional accommodation, where fittings and facilities have been adapted over time. I personally would stay in this style again, particularly if there were two in a room as you would be falling over one another. Having booked through a travel agent (first time in a long time as it was a group booking) there is no doubt the rates charged were excessive also. The staff are very pleasant but this style is just not my cup of tea. Been there, done that, back to hotels...",Dar_El_Kebira,Rabat
 December 2014,5,Business travel with cultural pause,"With the soccer clubs championship taking place in December in Morocco, all hotels were overbooked by ""Real de Madrid"" or ""Cruz Azul"" staff ... finally, this was a very good thing. Between two business meetings, I spent three nights in that Riad, in the middle of the Medina. In normal time, I would have never known what is a genuine Riad and that would have been a mistake! As, I really enjoyed the beauty and atmosphere, cleanliness, all modern services of the ""Dar El Kebira"" place. On top, very good food served as if you were at home. I am not sure that big international hotels will see me again soon, in Rabat!",Dar_El_Kebira,Rabat
 October 2014,4,Good place for the night,We only stayed for one night and thought the riad is in a good location but we didn't wander Rabat much. The owner lady wasn't that friendly... But she tried by making dinner reservations for us. The rooms were nice but the website made the riad nicer than it was in my opinion.,Dar_El_Kebira,Rabat
 November 2014,4,Dar El Kebira-,"Rabat was our first stop in Morocco and selected Dar El Kebira for 2 nights for our stay but one spent one night due to being told that our booking with Booking.com arrived 10mins another booking for the same room so we were moved to another riad for the first night. When we taken back to the Dar we were up-graded to a suite which was comfortable and roomy. The location is good as it easy to get to the main section of the medina ( down Rue des Consuls) and the main sites (Kasbas des Oudayas etc which you can do in half a day). The Dar is in a quite area of the medina so there hardly any noise to be heard.The rooftop terrace gives a good view of the medina, Kasbah and port. We has dinner at the Dar on our last night and was very good and satisfying. The manager and staff were…",Dar_El_Kebira,Rabat
 October 2014,4,Worth staying here,"Two of us stayed here in October. The Riad is well placed for the sights of Rabat as it's situated just inside the medina.. Bedroom was very comfortable and well equipped. Breakfast on the roof top terrace was good. We had dinner one night and were very satisfied, the following night the manager recommended another local restaurant so it's worth getting ideas from the manager as to where to go. Great advantage of Rabat over Marrakesh and Tangier is that there is no hassling in the market and the prices are much less.",Dar_El_Kebira,Rabat
 October 2014,3,Reasonable Price,Best bit is Breakfast on the terrace with views of Medina.Traditional breakfast.Good for short stay.Wanted 2 rooms close together. Could not accomodate that.Next morning wanted to see manager for wifi password 'Manager is sleeping.',Dar_El_Kebira,Rabat
 October 2014,4,"Beautiful riad, great food","The location was good, just barely inside the medina. The rooftop terrace was private with some nice views. The public areas were beautiful and really well maintained. We had one of our best dinners at this riad. The bathroom was a bit small but the room was comfortable and charming.",Dar_El_Kebira,Rabat
 October 2014,3,Pleasant Riad,This was a pleasant Riad and in a convenient place in Rabat which we enjoyed. It was very quiet but the room was a little on the small side. The driver picked us up from the airport and that was the most convenient way to get to the Riad as the Medina can be confusing when you first arrive.,Dar_El_Kebira,Rabat
 October 2014,3,"Very reasonable, good location, helpful staff.","Our first night ever in Morocco was in Rabat, at Dar El Kebira. After 17 hours of travel, it was very nice to have a driver from this riad pick us up from the airport (15-20min drive and then 5 min walk within the medina). This is in an easy to find and good location in the medina. The staff were very nice and helpful. Our room was a bit odd in that there was a small sitting area and bathroom on one level and then narrow steep stairs up to the bed. However, it was comfortable with an AC unit that worked well. The bathroom was disappointing - a tub with a very small curtained shower area so it was not the most comfortable or easy place to take a shower. Compared to other riads that we stayed in for similar price, this was the not quite as nice. But overall it was functional and…",Dar_El_Kebira,Rabat
 October 2014,4,"Attractive place, very friendly and helpful staff","This was our first trip to Morocco and Rabat was our port of entry, so we wanted something truly Moroccan. As far as we can tell, Dar El Kebira is that. The manager and her staff were very friendly, attentive, and helpful, and the place was very clean and nicdely furnished/decorated. I agree with Peter B's advice on checking room size, as our room was small. Further, we had asked for twin beds and got a room with a Queen. They did accommodate our needs by providing a roll-away bed, which worked, but took up the limited space and wasn't as comfortable as a regulaer bed. Cabs/cars can't get to the Riad because the streets are so narrow in the Medina, but it's only a 5 min. walk from the drop-off point via a well sign-posted route. It would have been nice, however, to know about…",Dar_El_Kebira,Rabat
